ResponseId	Gender	Tromp	Duration	SleepQualCro	SleepQualAcu	SleepQuantCro	SleepQuantAcu	Moral_DIL	Submarine_1	Trespassers_1	Hostages_1	Liferaft_1	PlaneCrash_1	PrisWar_1	Spelunkers_1	Soldier_1	Surgery_1	Footbridge_1	Cryingbaby_1	AOT8_EN_1	AOT8_EN_2	AOT8_EN_3	AOT8_EN_4R	AOT8_EN_5R	AOT8_EN_6R	AOT8_EN_7R	AOT8_EN_8	AOT_TOT	Narc_TOT	Mach_TOT	Psych_TOT	CRT_TOT	Num_TOT	Heure_TOT	Age_correct
1	2	2	228	8	10	7	8	50	0	0	10	10	0	10	0	10	10	0	0	5	5	5	5	1	1	5	5	32	25	9	13	0	1	10.9666666666667	1
2	2	2	264	7	8	7	7	82.01	10	8.66	7.8	8.97	7.59	8.93	7.43	7.61	3.91	5.47	5.64	5	5	5	5	3	4	5	5	37	16	23	11	6	3	12	1
3	2	2	292	5	4	8	8	73.22	10	3.25	3.11	10	4.26	3.77	7.08	6.56	7.02	8.17	10	4	5	5	5	5	5	5	5	39	20	33	21	7	3	11.9833333333333	1
4	2	2	348	3	6	4	5	86.99	7.67	7.31	9.57	9.47	4.17	9.03	8.17	10	6.51	8.44	6.65	3	5	5	5	5	4	5	2	34	18	26	23	7	3	9.01666666666667	1
5	2	2	293	9	10	2	2	103.32	9.47	9.16	9.44	9.94	9.59	9.42	9.57	9.59	9.07	9.14	8.93	5	4	4	1	1	2	3	5	25	32	37	31	1	0	9	1
7	2	2	132	3	4	8	6	68.39	8.13	10	10	1.77	9.07	9.65	9.57	0	0	5.1	5.1	3	3	3	3	4	4	4	2	26	10	22	13	1	0	12.0166666666667	1
8	1	2	133	4	2	6	5	52.21	7.26	2.24	6.72	2.33	7.84	5.05	2.55	7.61	0.67	2.43	7.51	4	2	3	4	2	3	1	3	22	31	30	23	6	1	11	1
9	1	2	234	7	8	7	7	35.5	3.11	3.42	3.02	3.66	0.99	3.74	3.21	6.4	3.44	2.47	2.04	4	3	3	4	3	3	2	3	25	24	32	21	5	3	12.0166666666667	1
10	1	2	395	3	7	5	6	51.87	8.74	0	0	10	2.35	10	7.94	7.78	0	0	5.06	3	4	5	5	4	3	4	4	32	24	37	25	5	2	9.01666666666667	1
15	1	2	343	7	8	7	7	95.26	10	10	10	9.47	1.58	9.18	8.46	8.48	8.77	9.32	10	4	5	5	5	5	5	5	2	36	25	38	21	0	2	9.03333333333333	1
16	1	2	532	7	8	7	7	62.73	1.44	7.45	7.59	4.07	7.65	8.09	8.15	8.27	1.21	3.81	5	4	5	4	5	4	4	5	4	35	26	30	22	7	3	12.05	1
17	1	2	231	8	8	8	8	4.88	0	0	0	0	0	4.88	0	0	0	0	0	3	5	5	3	5	5	5	4	35	16	17	15	7	2	12.05	1
18	2	2	339	3	5	5	5	2.01	0.02	0.25	0.14	0.02	0	0	0.45	1.05	0	0.08	0	4	5	4	5	4	4	5	4	35	22	26	17	7	2	12.0666666666667	1
19	1	2	658	8	8	8	8	10.02	0	0	0	0	0	0.02	0	0	10	0	0	4	5	4	4	4	2	3	3	29	30	34	22	1	2	12.0833333333333	1
20	1	2	640	8	7	8	7	50.47	7.61	2.14	1.36	8.23	7.53	1.89	7.04	2.49	0.99	2.1	9.09	5	5	5	5	5	5	5	4	39	20	22	16	7	3	9.06666666666667	1
21	2	2	266	10	10	8	9	6.85	0.08	0.35	0.64	1.09	1.21	0.56	0.95	0.78	0.43	0.25	0.51	5	5	5	5	2	1	5	5	33	28	24	12	7	3	11	1
