ResponseId	Gender	Tromp	Duration	SleepQualCro	SleepQualAcu	SleepQuantCro	SleepQuantAcu	Moral_SCA	AOT_TOT	AOT8_EN_1	AOT8_EN_2	AOT8_EN_3	AOT8_EN_4R	AOT8_EN_5R	AOT8_EN_6R	AOT8_EN_7R	AOT8_EN_8	Narc_TOT	Mach_TOT	Psych_TOT	CRT_TOT	Num_TOT	Heure_TOT	Age_correct
2	1	2	165	5	4	8	8	33	23	1	2	2	4	4	4	4	2	18	20	18	4	3	12	1
3	2	2	214	5	6	8	9	31	24	3	2	3	3	3	4	3	3	25	26	30	6	1	12.25	1
4	1	2	180	0	2	7	4	28	26	4	4	5	4	2	1	2	4	14	39	21	2	0	12.25	1
5	1	2	261	9	9	9	9	28	32	5	5	5	5	1	1	5	5	37	24	10	6	3	11.2666666666667	1
6	2	2	280	8	8	8	9	33	24	4	5	4	3	2	1	2	3	31	38	28	0	0	9.26666666666667	1
7	1	2	267	3	3	6	6	41	33	4	4	4	5	3	4	5	4	18	23	18	6	2	12	1
8	2	2	298	5	5	7	7	33	29	4	4	3	5	3	4	4	2	12	25	14	5	3	11.2833333333333	1
9	2	2	318	8	10	7	7	40	39	4	5	5	5	5	5	5	5	18	40	13	7	3	12.2833333333333	1
10	1	2	388	4	5	6	7	29	25	3	4	4	2	3	3	2	4	28	25	25	6	2	11	1
11	1	2	365	9	9	8	8	35	40	5	5	5	5	5	5	5	5	16	9	15	7	3	11.3	1
13	2	2	405	9	9	8	8	33	30	2	4	4	4	4	4	4	4	19	23	13	6	2	12	1
14	1	2	442	7	9	7	7	33	23	3	5	4	1	2	1	3	4	22	33	37	0	3	12.3166666666667	1
15	2	2	333	5	6	6	6	38	32	4	4	4	5	3	4	4	4	20	27	16	5	3	9.33333333333333	1
16	1	4	264	9	9	5	5	29	26	4	3	5	2	3	4	1	4	28	36	32	1	1	9.15	1
17	1	2	430	3	4	6	6	35	37	3	5	5	5	5	5	5	4	13	24	15	6	3	9.33333333333333	1
18	1	2	445	8	9	7	7	27	39	5	5	5	5	5	5	5	4	19	26	22	7	3	10.3333333333333	1
19	2	2	498	5	7	7	7	46	30	4	3	5	5	2	1	5	5	17	32	11	2	0	11.3333333333333	1
20	1	2	164	6	7	8	9	35	24	2	2	2	5	4	3	4	2	36	38	31	6	3	12.3333333333333	1
22	1	2	540	5	6	7	7	31	25	4	4	3	4	2	3	3	2	31	26	25	4	3	12.35	1
23	2	2	339	8	10	6	7	39	27	1	4	4	5	4	3	5	1	21	9	9	4	0	12.35	1
24	1	2	570	7	8	8	8	32	36	3	5	5	5	4	4	5	5	19	32	13	7	2	11.35	1
25	1	2	439	7	6	7	6	40	31	3	5	4	4	3	5	4	3	28	30	17	5	2	9.35	1
26	1	2	150	10	10	8	8	29	26	5	4	5	1	2	1	3	5	33	35	32	4	1	9	1
27	1	2	338	8	7	8	8	30	26	4	3	5	2	4	1	3	4	27	31	26	1	0	9.36666666666667	1
28	2	2	510	8	9	7	8	47	37	4	5	5	5	5	4	5	4	11	18	12	4	3	12.3666666666667	1
29	1	2	172	6	6	6	6	32	31	5	4	5	5	2	3	3	4	28	37	33	2	2	11	1
31	1	2	765	8	7	5	5	35	27	5	3	5	4	2	2	3	3	34	33	19	0	1	10.4	1
32	2	2	291	8	8	7	7	31	24	3	4	4	1	3	2	2	5	30	37	30	2	0	9.33333333333333	1
33	2	2	361	7	8	8	8	42	34	4	5	5	5	3	4	4	4	27	30	22	1	1	9.43333333333333	1
34	2	3	704	7	8	8	8	34		4	4		2	2	3	2	5	35	35	36	0	0	9.43333333333333	1
35	1	2	372	7	8	6	5	33	25	4	5	3	3	2	1	3	4	32	32	32	2	0	12.4333333333333	1
36	1	2	116	0	0	0	0	34	24	1	1	1	5	5	5	5	1	21	9	17	1	0	12.45	1
37	1	2	384	7	7	8	8	39	35	3	5	5	5	4	5	5	3	10	19	14	1	3	12.4666666666667	1
38	2	2	383	7	8	7	8	36	35	4	5	5	5	3	4	5	4	15	18	17	4	3	12.5	1
39	2	2	254	2	6	6	6	19	35	4	5	5	5	5	5	5	1	13	15	15	7	2	12	1
40	1	2	217	8	6	8	8	31	24	3	3	3	3	3	3	3	3	27	27	27	1	3	12.5	1
41	2	2	511	7	8	7	7	37	31	4	3	4	5	4	4	4	3	15	25	15	7	2	11.5	1
42	2	2	323	8	9	7	6	38	29	3	5	4	5	2	3	4	3	17	33	13	7	3	11.5	1
43	1	2	357	9	10	8	8	39	25	4	1	4	5	2	1	5	3	18	9	23	6	1	10	1
