ResponseId	Gender	Duration	SleepQualCro	SleepQualAcu	SleepQuantCro	SleepQuantAcu	Moral_SCA	Heure_TOT	Age_correct
1	2	759	0	5	4	6	36	17.25	1
2	2	1195	6	7	8	12	34	17.3333333333333	1
3	2	1032	6	6	8	8	35	17.45	1
4	2	1077	3	5	6	7	35	17.5166666666667	1
5	2	1785	8	7	9	10	38	17.85	1
6	2	2546	3	4	6	7	37	18.45	1
7	2	1534	5	4	9	7	34	19.4666666666667	1
8	2	1174	2	2	4	4	39	20.3	1
9	2	824	6	6	8	8	41	20.7833333333333	1
13	2	789	3	3	6	6	40	0.566666666666667	1
14	2	776	8	9	7	7	34	0.883333333333333	1
15	1	830	9	10	10	7	43	5.38333333333333	1
16	1	516	6	8	6	5	43	11.4166666666667	1
17	2	1126	0	0	6	6	38	15.7666666666667	1
18		617	6	7	9	9	30		1
20	2	606	6	2	8	6	42	19.0666666666667	1
21	2	1490	2	3	9	8	36	19.4333333333333	1
24	2	1000	5	5	8	8	30	17.6166666666667	1
25	1	951	6	5	6	7	44	16.1833333333333	1
26	2	800	6	7	5	6	38	19.1166666666667	1
27	2	997	8	9	7	6	37	20.05	1
28	2	693	4	3	5	6	36	20.1	1
31		800	4	3	8	7	31		1
33	2	1046	6	9	9	9	37	10.1833333333333	1
38	2	835	3	5	7	8	33	18.25	1
41	2	1298	4	2	7	7	41	0	1
42	2	1505	4	6	5	7	38	2.25	1
43		217	6	4	6	8	42		1
44		1422	8	4	6	4	40		1
47		577	6	6	9	9	41		1
48		515	6	6	8	9	31		1
50	2	2473	6	8	8	7	34	11	1
52	2	2266	4	3	7	5	40	14.65	1
54	2	1350	3	6	8	7	36	15.5	1
59	1	723	7	5	7	6	32		1
60	2	2322	4	5	7	5	40		1
61	1	1713	4	4	10	8	43		1
62	2	947	8	6	9	10	41		1
63	2	902	6	7	6	7	32		1
64	2	1338	7	9	7	10	42		1
65	2	2857	7	8	8	10	34		1
68	2	935	7	10	8	9	32	18.5666666666667	1
69	2	1188	8	6	9	8	37	19.0666666666667	1
72	1	492	5	6	6	9	35	20.75	1
74		71	8	5	1	2	31		1
75		118					34		1
76	2	752	3	6	5	6	41	0.116666666666667	1
77	2	828	6	7	7	7	29	0.25	1
78	2	1051	4	7	6	9	38	11.5333333333333	1
79	2	673	7	3	8	5	37	15.6166666666667	1
80	2	610	6	6	7	6	33	11.95	1
81	2	1263	8	10	8	9	44	14.55	1
82	1	868	4	4	6	5	36	15.3666666666667	1
84	2	732	3	5	5	7	38	3.3	1
