ResponseId	Gender	Tromp	Duration	SleepEfficiency.criteria	SleepQualCro	SleepQualAcu	SleepQuantCro	SleepQuantAcu	Moral_DIL	Moral_SCA	Moral_CAR	Heure_TOT	Age_correct
3	1	0	530	1	17	8	9	9	66.17	30	0.642857142857143	12.2666666666667	1
4	2	0	635	1	19	9	8	8	62.64	38	1	12.2833333333333	1
5	2	0	703	1	10	7	6	6	57.22	32	1	9.31666666666667	1
6	1	0	544	1	18	7	8	8	58.8	35	0.785714285714286	12.4666666666667	1
7	1	0	442	1	17	6	8	6	48.92	30	0.857142857142857	12.3833333333333	1
8	3	0	636	1	5	3	5	4	56.1	30	1	10.4	1
9	1	0	721	1	17	9	7	7	79.89	38	0.785714285714286	9.38333333333333	1
10	1	0	557	1	12	6	7	7	0	30	1	12.4	1
11	1	0	442	1	19	8	8	8	8.64	24	1	12.4	1
12	1	0	679	1	18	9	7	7	91.54	33	1	9.4	1
13	1	0	691	1	14	6	7	7	80.87	39	0.785714285714286	10.4166666666667	1
14	1	0	552	1	18	10	7	7	56.38	34	0.857142857142857	11.4166666666667	1
15	1	0	470	1	13	6	7	7	80.49	40	0.928571428571429	12.4333333333333	1
16	2	0	787	1	17	10	8	9	74.27	32	0.714285714285714	9.43333333333333	1
17	2	1	938	1	18	7	8	8	40.23	32	0.571428571428571	12.4666666666667	1
18	1	0	795	1	17	8	7	7	80.98	40	0.857142857142857	12.4666666666667	1
19	1	0	373	1	16	7	8	8	50.54	32	0.857142857142857	12.4666666666667	1
20	1	0	1222	1	16	5	8	8	25.74	30	0.785714285714286	12.4666666666667	1
21	1	0	517	1	14	8	8	8	74.26	30	1	9.5	1
22	1	0	735	1	11	3	5	5	84.39	34	0.571428571428571	12.5	1
23	2	0	276	1	20	10	8	8	110	46	1	11.5	1
24	1	0	132	1	11	3	8	8	62.92	28	1	11.5	1
25	2	0	209	1	20	10	7	7	61.54	32	1	12.55	1
26	1	0	133	1	18	9	8	8	66.7	33	0.857142857142857	7.33333333333333	1
27	1	1	501	1	21	10	8	8	48.95	33	0.5	12.5666666666667	1
28	1	0	471	0	14	7	8	8	65.51	38	0.785714285714286	12.5666666666667	1
29	1	0	456	1	7	7	7	8	84.46	36	0.5	12.5833333333333	1
30	2	0	480	1	11	2	4	3	110	40	0.714285714285714	11.5833333333333	1
31	1	1	441	1	19	5	7	7	10	31	0.5	11.6	1
33	1	0	1396	1	17	6	8	7	68.28	31	0.714285714285714	12.6166666666667	1
34	1	0	1462	1	15	8	8	8	79.22	35	0.5	9.63333333333333	1
35	1	1	805	1	10	9	11	11	89.93	30	0.428571428571429	11.6833333333333	1
37	2	0	151	1	16	2	8	7	53.31	33	0.571428571428571	12.75	1
38	2	0	408	1	18	8	8	8	77.94	34	1	9.8	1
39	2	0	670	1	10	6	6	6	42.27	25	0.5	12.8333333333333	1
40	1	0	773	1	9	8	8	9	61.38	32	0.714285714285714	9	1
41	1	0	594	1	15	8	7	7	51.22	39	1	13	1
42	1	0	136	1	9	7	8	8	66.72	31	0.928571428571429	10.0666666666667	1
43	1	0	314	1	17	7	7	7	72.03	31	1	13.0833333333333	1
44	2	0	595	1	19	9	8	8	10	26	0.5	12.0833333333333	1
45	1	0	223	0	15	5	7	7	10.1	32	1	13.1	1
46	1	0	590	1	13	4	7	8	93.62	39	0.714285714285714	11.15	1
47	2	0	654	1	11	6	8	5	81.02	35	0.5	9	1
48	2	0	475	1	19	9	8	8	8.22	27	0.928571428571429	12.1833333333333	1
49	1	0	534	1	11	4	6	7	71.92	30	0.857142857142857	11.1833333333333	1
50	1	0	409	1	16	8	7	7	89.6	35	1	13.2166666666667	1
51	2	0	577	1	6	8	7	8	73.81	34	0.928571428571429	9.25	1
52	1	0	820	1	10	3	5	5	71.47	37	0.857142857142857	13.2833333333333	1
53	1	0	420	1	12	7	7	7	34.37	32	1	13.3	1
54	2	0	641	1	16	10	7	7	40	33	1	12.3333333333333	1
55	1	0	152	1	13	4	7	5	55.64	33	0.5	12.45	1
56	2	0	412	1	12	8	8	8	95.7	32	0.285714285714286	10.45	1
57	2	0	821	1	17	8	8	7	0	25	0.5	13.5166666666667	1
58	1	0	369	1	13	7	9	7	61.58	36	0.928571428571429	10.5333333333333	1
59	1	1	768	1	14	7	7	7	36.4	30	0.571428571428571	13.6166666666667	1
60	2	0	287	1	15	7	7	7	39.91	36	0.714285714285714	13.65	1
61	1	0	320	1	8	6	2	4	64.71	32	0.428571428571429	9.45	1
62	2	0	638	1	18	8	7	5	51.79	32	0.571428571428571	13.7333333333333	1
64	1	0	356	1	16	7	7	7	32.62	34	0.857142857142857	10.7666666666667	1
65	1	0	688	1	10	10	6	6	59.95	37	1	10.7666666666667	1
66	2	0	509	1	14	7	8	8	73	31	0.857142857142857	13.7	1
67	2	0	1038	1	16	8	8	8	60	31	0.428571428571429	10.85	1
68	1	0	1341	1	20	9	7	7	87.69	41	0.785714285714286	13.9	1
69	1	0	625	1	12	7	7	7	61.86	36	1	10.9166666666667	1
70	1	1	387	1	8	8	6	7	89.84	34	0.857142857142857	10.9166666666667	1
71	1	1	918	1	10	6	6	7	79.85	32	0.928571428571429	18	1
72	2	0	493	1	12	4	6	5	59.71	31	0.785714285714286	11.0333333333333	1
73	1	1	327	1	20	10	7	7	0	30	0.5	14.0666666666667	1
75	2	0	1950	1	9	3	6	4	58.34	29	0.928571428571429	14.1166666666667	1
76	1	0	629	1	8	6	8	8	64.65	37	0.857142857142857	14.15	1
