ResponseId	Gender	Duration	SleepEfficiency.criteria	SleepQualCro	SleepQualAcu	SleepQuantCro	SleepQuantAcu	Moral_DIL	Moral_SCA	Heure_TOT	Age_correct
R_AmKSf21672PQhWh	1	807	1	6	8	5.28571428571429	5	1.5	34	14.4333333333333	1
R_3ssl059hkch8248	1	1686	1	17	15	10	12.5	57.31	36	14.7166666666667	1
R_2dhkTWhvcS9oPUC	1	1092	1	18	19	9.36904761904762	8.91666666666667	39.03	38	14.85	1
R_3EXRi2JTvfFT79c	1	927	1	12	18	9.42857142857143	11	49	33	14.9833333333333	1
R_Ui5OtQyBxDkhMcN	2	1525	1	14	19	7.47142857142857	8	30	39	15.0333333333333	1
R_3MrkPwPu4Xyfywe	2	1068	1	19	18	8.21428571428571	9.5	22.41	38	15.25	1
R_pT31A3T0r6mfVnj	1	2296	1	17	18	7.23809523809524	6.41666666666667	10	28	15.3	1
R_rlqwNMNVlc32Mud	1	823	1	14	17	7.21428571428571	7	52.9	39	15.3333333333333	1
R_2qDepBV6caqkxdI	2	1330	1	19	18	8.96428571428571	10.8333333333333	8.46	31	15.3833333333333	1
1	2	2613	1	16	18	7.91190476190476	7.5	58.34	38	15.4666666666667	1
3	2	1446	1	19	19	8.93095238095238	8.73333333333333	70.89	35	15.5	1
4	2	962	1	17	18	9.63095238095238	9	19.08	33	15.6333333333333	1
5	2	821	1	16	18	9.85714285714286	9	25.68	31	15.95	1
6	2	1088	1	17	18	7.5	7.16666666666667	36.6	40	16.5333333333333	1
7	2	764	1	16	11	8.47619047619048	5.5	19.6	31	16.5333333333333	1
8	1	661	1	18	19	7.96666666666667	10.75	42.66	37	16.55	1
9	1	1295	1	18	19	8.82142857142857	8.5	29.85	33	17.0333333333333	1
10	2	1195	1	17	18	8.72619047619048	8.75	7.46	27	17.4666666666667	1
13	2	1216	1	16	15	8.85714285714286	6.75	28.26	31	17.8166666666667	1
14	1	1625	1	18	18	8.40476190476191	8.41666666666667	71.76	31	18.1333333333333	1
15	2	375	1	10	8	7.71428571428571	3.5	51.44	28	18.9666666666667	1
16	1	1917	1	17	19	6.70238095238095	7.33333333333333	50.1	39	19.35	1
17	2	1144	1	15	18	6.9047619047619	8.5	26.49	35	19.8166666666667	1
18		169						56.25	31		1
19	2	488	1	18	16	8.29047619047619	6.96666666666667	55.02	38	20.15	1
20	1	718	1	16	16	8.54761904761905	10	41.53	39	20.1666666666667	1
